"Top 5 values of type.keyword","Timestamp per 30 minutes",Attacks
Dionaea,"17:30",5
Dionaea,"18:00",8
Dionaea,"18:30",9
Dionaea,"19:00","1,108"
Dionaea,"19:30","2,040"
Dionaea,"20:00",3
Dionaea,"20:30",9
Dionaea,"21:00",1
Dionaea,"21:30",78
Dionaea,"22:00","2,980"
Dionaea,"22:30",95
Dionaea,"23:00",2
Dionaea,"23:30",4
Dionaea,"00:00",4
Dionaea,"00:30",6
Dionaea,"01:00",1
Dionaea,"01:30",7
Dionaea,"02:00",5
Dionaea,"02:30",5
Dionaea,"03:00",3
Dionaea,"03:30",45
Dionaea,"04:00","3,126"
Dionaea,"04:30",4
Dionaea,"05:00",3
Dionaea,"05:30",680
Dionaea,"06:00",671
Dionaea,"06:30","2,306"
Dionaea,"07:00",3
Dionaea,"07:30",2
Dionaea,"08:00",5
Dionaea,"08:30",1
Dionaea,"09:00",5
Dionaea,"09:30",14
Dionaea,"10:00",7
Dionaea,"10:30","2,484"
Dionaea,"11:00",12
Dionaea,"12:00",4
Dionaea,"12:30",5
Cowrie,"17:30",11
Cowrie,"18:00",27
Cowrie,"18:30",12
Cowrie,"19:00","2,499"
Cowrie,"19:30","1,255"
Cowrie,"20:00",4
Cowrie,"20:30",15
Cowrie,"21:00",43
Cowrie,"21:30",25
Cowrie,"22:00",4
Cowrie,"22:30",2
Cowrie,"23:00",24
Cowrie,"23:30",14
Cowrie,"00:00",12
Cowrie,"00:30",63
Cowrie,"01:00",15
Cowrie,"01:30",76
Cowrie,"02:00",8
Cowrie,"02:30",38
Cowrie,"03:00",6
Cowrie,"03:30",12
Cowrie,"04:00",9
Cowrie,"04:30",10
Cowrie,"05:00",13
Cowrie,"05:30",25
Cowrie,"06:00",228
Cowrie,"06:30",99
Cowrie,"07:00",10
Cowrie,"07:30",19
Cowrie,"08:00",66
Cowrie,"08:30",22
Cowrie,"09:00",14
Cowrie,"09:30",22
Cowrie,"10:00","1,266"
Cowrie,"10:30",30
Cowrie,"11:00",22
Cowrie,"11:30",26
Cowrie,"12:00",24
Cowrie,"12:30",13
Sentrypeer,"17:30",3
Sentrypeer,"18:00",2
Sentrypeer,"18:30",1
Sentrypeer,"19:00",2
Sentrypeer,"19:30",2
Sentrypeer,"20:30",1
Sentrypeer,"21:00",1
Sentrypeer,"21:30",1
Sentrypeer,"22:00",33
Sentrypeer,"22:30",83
Sentrypeer,"23:00",81
Sentrypeer,"23:30",89
Sentrypeer,"00:00",95
Sentrypeer,"00:30",165
Sentrypeer,"01:00",87
Sentrypeer,"01:30",87
Sentrypeer,"02:00",21
Sentrypeer,"02:30",21
Sentrypeer,"03:00",21
Sentrypeer,"03:30",21
Sentrypeer,"04:00",22
Sentrypeer,"04:30",17
Sentrypeer,"05:00",21
Sentrypeer,"05:30",21
Sentrypeer,"06:00",23
Sentrypeer,"06:30",21
Sentrypeer,"07:00",21
Sentrypeer,"07:30",25
Sentrypeer,"08:00",23
Sentrypeer,"08:30",44
Sentrypeer,"09:00",35
Sentrypeer,"09:30",32
Sentrypeer,"10:00",29
Sentrypeer,"10:30",34
Sentrypeer,"11:00",31
Sentrypeer,"11:30",23
Sentrypeer,"12:00",12
Sentrypeer,"12:30",9
Tanner,"17:30",1
Tanner,"18:00",1
Tanner,"18:30",2
Tanner,"19:30",2
Tanner,"20:00",1
Tanner,"20:30",6
Tanner,"21:30",1
Tanner,"22:00",4
Tanner,"22:30",5
Tanner,"23:00",3
Tanner,"00:00",45
Tanner,"00:30",2
Tanner,"01:00",1
Tanner,"01:30",14
Tanner,"02:00",2
Tanner,"02:30",15
Tanner,"03:00",11
Tanner,"04:00",1
Tanner,"04:30",3
Tanner,"05:00",46
Tanner,"05:30",2
Tanner,"06:30",8
Tanner,"07:30",1
Tanner,"08:00",2
Tanner,"08:30",1
Tanner,"09:00",2
Tanner,"09:30",1
Tanner,"10:30",2
Tanner,"11:00",18
Tanner,"11:30",11
Tanner,"12:00",44
Tanner,"12:30",32
Redishoneypot,"18:00",3
Redishoneypot,"21:00",3
Redishoneypot,"22:00",3
Redishoneypot,"22:30",3
Redishoneypot,"23:00",3
Redishoneypot,"23:30",3
Redishoneypot,"00:00",6
Redishoneypot,"00:30",3
Redishoneypot,"01:00",6
Redishoneypot,"02:30",3
Redishoneypot,"03:00",3
Redishoneypot,"04:00",3
Redishoneypot,"05:00",3
Redishoneypot,"05:30",6
Redishoneypot,"06:00",3
Redishoneypot,"07:30",3
Redishoneypot,"09:30",3
Redishoneypot,"10:00",3
Redishoneypot,"12:00",3
