ID,Description,Count
2100384,"GPL ICMP PING","11,645"
2024766,"ET EXPLOIT [PTsecurity] DoublePulsar Backdoor installation communication","7,473"
2210051,"SURICATA STREAM Packet with broken ack","3,323"
2200003,"SURICATA IPv4 truncated packet","1,682"
2200122,"SURICATA AF-PACKET truncated packet","1,682"
2013504,"ET INFO GNU/Linux APT User-Agent Outbound likely related to package management",491
2210061,"SURICATA STREAM spurious retransmission",298
2402000,"ET DROP Dshield Block Listed Source group 1",211
2002752,"ET INFO Reserved Internal IP Traffic",192
2009582,"ET SCAN NMAP -sS window 1024",168
